VL No,Thara
8,1
9,1
10,1
12,1
13,1
14,1
15,1
16,1
17,1
11,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
28,1
29,1
35,1
41,1
30,1
32,1
74,1
31,1
36,1
42,1
44,1
45,1
33,1
34,1
43,1
1149,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
59,1
57,1
58,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
413,1
83,1
85,1
87,1
88,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
104,1
105,1
64,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
127,1
129,1
130,1
131,1
70,1
71,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,
140,1
1184,1
141,1
898,1
899,1
86,1
142,1
143,1
144,1
89,1
90,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
605,1
606,1
607,1
608,1
609,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
1195,1
187,1
188,1
190,1
191,1
189,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
72,1
7,1
215,1
216,2
217,2
218,2
219,2
220,2
222,2
223,2
221,2
226,2
1185,2
224,2
225,2
383,2
384,2
385,2
386,2
387,2
388,2
1178,2
1179,2
1180,2
1181,2
1194,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
227,2
228,2
229,2
398,2
399,2
382,2
380,2
381,2
377,2
378,2
379,2
375,2
376,2
371,2
372,2
373,2
374,2
368,2
369,2
370,2
366,2
365,2
367,2
361,2
362,2
363,2
364,2
358,2
359,2
360,2
354,2
355,2
356,2
357,2
321,2
322,2
407,2
408,2
411,2
412,2
317,2
318,2
319,2
320,2
311,2
312,2
313,2
314,2
315,2
316,2
406,2
409,2
410,2
305,2
306,2
307,2
308,2
309,2
403,2
405,2
400,2
401,2
402,2
300,2
301,2
302,2
303,2
304,2
297,2
298,2
299,2
291,2
292,2
293,2
294,2
295,2
230,2
231,2
232,2
233,2
73,2
234,2
235,2
236,2
237,2
274,2
289,2
290,2
296,2
284,2
285,2
286,2
287,2
288,2
282,2
283,2
238,2
239,2
276,2
277,2
278,2
279,2
280,2
281,2
275,2
310,2
273,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
272,2
250,2
128,2
260,1
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
251,2
252,2
253,2
254,2
1151,2
1150,2
255,2
256,2
257,2
258,2
259,2
668,2
352,2
353,2
348,2
349,2
350,2
351,2
344,2
345,2
346,2
347,2
342,2
343,2
341,2
339,2
340,2
337,2
338,2
336,2
1152,2
333,2
334,2
335,2
697,2
329,2
330,2
331,2
332,2
327,2
328,2
323,2
324,2
325,2
326,2
515,2
516,3
517,3
518,3
512,3
513,3
514,3
508,3
509,3
510,3
511,3
502,3
503,3
504,3
505,3
60,3
506,3
507,3
84,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
1193,3
478,3
479,3
480,3
481,3
482,3
1190,3
483,3
484,3
414,3
415,3
416,3
417,3
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
443,3
444,3
442,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,3
467,3
468,3
469,3
470,3
471,3
"472
",3
1196,
473,3
474,3
475,3
476,3
477,3
719,3
767,3
768,3
769,3
1157,3
764,3
765,3
766,3
763,3
761,3
762,3
758,3
759,3
760,3
756,3
757,3
770,3
771,3
106,3
107,3
103,3
1,3
2,3
3,3
4,3
1110,3
1111,3
1112,3
1113,3
1114,3
1115,3
1116,3
1120,3
1127,3
404,3
1129,3
1130,3
1188,3
1131,3
1132,3
1133,3
1134,3
1135,3
1136,3
1137,3
1139,3
1140,3
1142,3
1176,3
1138,3
1141,3
1143,3
1144,3
1145,3
1147,3
1124,3
1125,3
1126,3
1122,3
1123,3
1128,3
565,3
1087,3
1088,3
1089,3
1090,3
1091,3
1092,3
1093,3
1094,3
1095,3
1117,3
1119,3
1118,3
1121,3
1096,3
1097,3
1098,3
1099,3
1146,3
1100,3
1101,3
1102,3
1103,3
1105,3
1107,3
1108,3
1104,3
1106,3
1109,3
752,3
753,3
754,3
755,3
739,3
740,3
741,3
742,3
743,3
744,3
745,3
746,3
751,3
747,3
748,3
749,3
750,3
1083,3
1084,3
1085,3
1086,3
397,3
732,3
721,3
734,3
737,3
738,3
731,3
730,3
733,3
735,3
736,3
1051,3
1053,3
1055,3
1186,3
1187,3
726,3
727,3
728,3
729,3
722,3
723,3
724,3
725,3
1080,3
1081,3
1082,3
720,3
574,3
575,3
715,3
519,3
521,4
522,4
523,4
524,4
520,4
525,4
526,4
527,4
528,4
529,4
530,4
531,4
532,4
533,4
538,4
539,4
540,4
541,4
542,4
535,4
536,4
537,4
543,4
544,4
546,4
547,4
548,4
571,4
572,4
566,4
567,4
568,4
550,4
551,4
552,4
553,4
554,4
545,4
549,4
555,4
556,4
557,4
558,4
559,4
569,4
1191,4
1192,4
560,4
561,4
562,4
563,4
564,4
1076,4
1077,4
1078,4
1079,4
26,4
27,4
37,4
38,4
39,4
40,4
570,4
5,4
6,4
1073,4
1074,4
1075,4
1175,4
1063,4
1064,4
1065,4
1066,4
1068,4
1070,4
1067,4
1069,4
